"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"3:37","AN24","WT","female","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,34,618.35045921615
"3:38","AN24","WT","female","Primary motor area, Layer 6a","MOp6a","/997/8/567/688/695/315/500/985/844/",985,9,486.197396142834
"3:40","AN24","WT","female","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,10,465.657741559953
"3:41","AN24","WT","female","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,66,1460.62939848626
"3:42","AN24","WT","female","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,11,865.119937082186
"3:43","AN24","WT","female","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,55,1609.17522455309
"3:44","AN24","WT","female","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,206,810.060479272676
"3:45","AN24","WT","female","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,8,586.0376529192
"3:47","AN24","WT","female","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,325,1264.97536217218
"3:48","AN24","WT","female","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,56,207.475028898308
"3:50","AN24","WT","female","Agranular insular area, dorsal part, layer 1","AId1","/997/8/567/688/695/315/95/104/996/",104,42,1154.86141663
"3:51","AN24","WT","female","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,23,373.61316417862
"3:52","AN24","WT","female","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,242,1209.52223871571
"3:54","AN24","WT","female","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,96,607.741102290424
"3:55","AN24","WT","female","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,177,2134.56181184501
"4:1","AN25","Dp2Yey","male","Gustatory areas, layer 1","GU1","/997/8/567/688/695/315/1057/36/",1057,3,936.914428482199
"4:2","AN25","Dp2Yey","male","Nucleus accumbens","ACB","/997/8/567/623/477/493/56/",493,20,385.527304971375
"4:3","AN25","Dp2Yey","male","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,241,2746.65785304811
"4:5","AN25","Dp2Yey","male","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,429,947.46536450914
"4:6","AN25","Dp2Yey","male","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,29,499.956900267218
"4:7","AN25","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,20,419.691946111554
"4:8","AN25","Dp2Yey","male","Orbital area, ventrolateral part, layer 2/3","ORBvl2/3","/997/8/567/688/695/315/714/746/288/",746,20,1544.64009885697
"4:9","AN25","Dp2Yey","male","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,80,1460.97373899704
"4:10","AN25","Dp2Yey","male","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,63,366.213066249688
"4:11","AN25","Dp2Yey","male","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,118,1400.17798872738
"4:12","AN25","Dp2Yey","male","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,249,2454.09656722155
"4:13","AN25","Dp2Yey","male","Orbital area, lateral part, layer 2/3","ORBl2/3","/997/8/567/688/695/315/714/723/412/",723,26,387.666249179937
